BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
1842723,Harry Potter and the sorcerer's stone / by J. K. Rowling ; illustrations by Mary Grandpre.,"Rowling, J. K.","0590353403, 059035342X",1998.,"A.A. Levine Books,","Fantasy Fiction, Witches Fiction, Wizards Juvenile fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,net,10/01/2017,5
2277368,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.",0439784549,c2005.,"Arthur A. Levine Books,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, England Juvenile fiction, Fantasy Fiction",jcbk,ncfic,NA,idc,10/01/2017,2
2340239,"Harry Potter and the goblet of fire [videorecording] / Warner Bros. ; Heyday Films ; producer, David Heyman ; screenplay, Steve Kloves ; directed by Mike Newell.",,"0780674316, 1419801910, 9780780674318, 9781419801914",[2006],"Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Contests Drama, Feature films, Fantasy films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,hip,10/01/2017,2
1971693,Harry Potter and the sorcerer's stone [sound recording] / J.K. Rowling.,"Rowling, J. K.","0807281956, 0807286001, 9781524721251",p1999.,"Listening Library,","Witches Juvenile fiction, Schools Juvenile fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jccd,ncbocd,Floating,qna,10/01/2017,1
2410427,Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.","0545010225, 0545029368, 9780545010221, 9780545029360",2007.,"Arthur A. Levine Books,","Potter Harry Fictitious character Juvenile fiction, Wizards Juvenile fiction, England Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction",jcbk,ncfic,NA,col,10/01/2017,1
3056930,"Hali Bote yu mo fa shi = Harry Potter and the philosopher's stone / [Ying] J.K. Luolin, zhu ; Su Nong, yi.","Rowling, J. K.","7020033431, 9787020033430",2000.,"Ren min wen xue chu ban she,","Wizards Juvenile fiction, Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Fiction, Magic Fiction, Schools Fiction, England Fiction",jcbk,ncln,NA,bea,10/01/2017,1
3099544,"The Geeky Chef cookbook : unofficial recipes from Doctor Who, game of Thrones, Harry Potter, and more, real-life recipes for your favorite fantasy foods / Cassandra Reeder, the Geeky Chef.","Reeder, Cassandra.","163106049X, 9781631060496",c2015.,"Race Point Pub,","Cooking, Food in popular culture, Cookbooks",acbk,canf,NA,cen,10/01/2017,2
2277368,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.",0439784549,c2005.,"Arthur A. Levine Books,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, England Juvenile fiction, Fantasy Fiction",jcbk,ncfic,NA,gwd,10/01/2017,2
3130115,Harry Potter and the sorcerer's stone / J.K. Rowling ; illustrated by Jim Kay.,"Rowling, J. K.","0545790352, 9780545790352",2015.,"Arthur A. Levine Books, an imprint of Scholastic Inc.,","Wizards Juvenile fiction, Magic Juvenile fiction, Schools Juvenile fiction, Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, England Juvenile fiction, Wizards Fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Fiction, England Fiction",jcbk,naover,NA,swt,10/01/2017,1
1886970,Harry Potter and the chamber of secrets / by J.K. Rowling ; illustrations by Mary Grandpre.,"Rowling, J. K.","0439064864, 0439064872, 9780439064866",1999.,"Arthur A. Levine Books,","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,cap,10/01/2017,2
3180043,Harry Potter : the character vault / by Jody Revenson ; produced by Insight Editions.,"Revenson, Jody,","0062407449, 9780062407443",2015.,"Harper Design, an imprint of HarperCollinsPublishers,","Harry Potter films Miscellanea, Rowling J K Characters, Potter Harry Fictitious character Miscellanea, Fantasy films",acbk,nanf,NA,fre,10/01/2017,1
2176667,Harry Potter and the Order of the Phoenix / by J.K. Rowling ; illustrations by Mary Grandpré.,"Rowling, J. K.","043935806X, 9780439358064",2003.,"Scholastic,","Potter Harry Fictitious character Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, England Juvenile fiction, Fantasy Fiction",jcbk,ncfic,NA,swt,10/01/2017,1
1965109,Harry Potter and the goblet of fire / by J.K. Rowling ; illustrations by Mary GrandPré.,"Rowling, J. K.","0439139597, 9780439139595",2000.,"Arthur A. Levine Books,","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,bea,10/01/2017,2
1894708,Harry Potter and the prisoner of Azkaban / by J.K. Rowling ; illustrations by Mary Grandpré.,"Rowling, J. K.","0439136350, 0439136369, 9780439136358",1999.,"Arthur A. Levine Books,","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,dth,10/01/2017,1
2703893,"Harry Potter and the Deathly Hallows. Part 1 [videorecording] / Warner Bros. Pictures ; a Heyday Films production ; screenplay by Steve Kloves ; produced by David Heyman, David Barron, J.K. Rowling ; directed by David Yates.",,"0780661656, 0780674316, 9780780661653, 9780780674318",[2011],"Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards Drama, Magic Drama, Action and adventure films, Fantasy films, Feature films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,glk,10/01/2017,2
2613376,"Harry Potter and the half-blood prince [videorecording] / Warner Bros. Pictures ; a Heyday Films production ; produced by David Heyman, David Barron ; screenplay by Steve Kloves ; directed by David Yates.",,"0780674316, 1419864173, 9780780674318, 9781419864179",c2009.,"Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards England Drama, Teenagers Conduct of life Drama, Good and evil Drama, Fantasy films, Feature films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,spa,10/01/2017,1
2121461,"Storybook travels : from Eloise's New York to Harry Potter's London, visits to 30 of the best-loved landmarks in children's literature / Colleen Dunn Bates and Susan LaTempa.","Bates, Colleen Dunn",060980779X,c2002.,"Three Rivers Press,","Children Travel Guidebooks, Literary landmarks Guidebooks, Childrens literature History and criticism",acbk,canf,NA,cen,10/01/2017,1
2703893,"Harry Potter and the Deathly Hallows. Part 1 [videorecording] / Warner Bros. Pictures ; a Heyday Films production ; screenplay by Steve Kloves ; produced by David Heyman, David Barron, J.K. Rowling ; directed by David Yates.",,"0780661656, 0780674316, 9780780661653, 9780780674318",[2011],"Warner Home Video,","Potter Harry Fictitious character Drama, Hogwarts School of Witchcraft and Wizardry Imaginary organization Drama, Wizards Drama, Magic Drama, Action and adventure films, Fantasy films, Feature films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,nga,10/01/2017,1
2176667,Harry Potter and the Order of the Phoenix / by J.K. Rowling ; illustrations by Mary Grandpré.,"Rowling, J. K.","043935806X, 9780439358064",2003.,"Scholastic,","Potter Harry Fictitious character Juvenile fiction, Wizards Juvenile fiction, Magic Fiction, Boarding schools Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, England Juvenile fiction, Fantasy Fiction",jcbk,ncfic,NA,bea,10/01/2017,2
2690556,The unofficial Harry Potter cookbook : from cauldron cakes to knickerbocker glory-- more than 150 magical recipes for wizards and non-wizards alike / Dinah Bucholz.,"Bucholz, Dinah","1440503257, 9781440503252",2010.,"Adams Media,","Cooking English, Potter Harry Fictitious character, Rowling J K Characters Harry Potter, Cookbooks",jcbk,ncnf,NA,bal,10/01/2017,1
3113378,"Harry Potter : magical places from the films : Hogwarts, Diagon Alley and beyond / by Jody Revenson.","Revenson, Jody,","0062385658, 9780062385659",c2015.,"Harper Design,","Potter Harry Fictitious character Miscellanea, Rowling J K Settings, Harry Potter films Miscellanea, Fantasy films",acbk,nanf,NA,fre,10/01/2017,1
3099544,"The Geeky Chef cookbook : unofficial recipes from Doctor Who, game of Thrones, Harry Potter, and more, real-life recipes for your favorite fantasy foods / Cassandra Reeder, the Geeky Chef.","Reeder, Cassandra.","163106049X, 9781631060496",c2015.,"Race Point Pub,","Cooking, Food in popular culture, Cookbooks",acbk,nanf,NA,bea,10/01/2017,1
1842723,Harry Potter and the sorcerer's stone / by J. K. Rowling ; illustrations by Mary Grandpre.,"Rowling, J. K.","0590353403, 059035342X",1998.,"A.A. Levine Books,","Fantasy Fiction, Witches Fiction, Wizards Juvenile fiction, Schools Fiction, Potter Harry Fictitious character Juvenile fiction, England Juvenile fiction",jcbk,ncfic,NA,bro,10/01/2017,3
2191398,Harry Potter and the Order of the Phoenix [sound recording] / J.K. Rowling.,"Rowling, J. K.","0807220299, 0807220310, 9780807220290, 9780807220313",p2003.,"Listening Library,","Potter Harry Fictitious character Juvenile fiction, Hogwarts School of Witchcraft and Wizardry Imaginary organization Juvenile fiction, Wizards Juvenile fiction, Magic Juvenile fiction, Boarding schools Juvenile fiction, England Juvenile fiction",jccd,ncbocd,Floating,wts,10/01/2017,1
