BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
1886970,0010041222927,jcbk,ncfic,J ROWLING,05/16/2005 02:10:00 PM
2277368,0010051162823,jcbk,ccfic,J ROWLING2005,09/01/2005 01:03:00 PM
1894708,0010047571731,jcbk,ncfic,J ROWLING,07/29/2005 11:37:00 AM
2277368,0010051162286,jcbk,ccfic,J ROWLING2005,09/14/2005 04:54:00 PM
2277368,0010051165685,jcbk,ncfic,J ROWLING2005,07/29/2005 02:04:00 PM
2277368,0010051162229,jcbk,ccfic,J ROWLING2005,09/24/2005 03:54:00 PM
1842723,0010047073167,jcbk,ncfic,J ROWLING,12/07/2005 02:38:00 PM
2176667,0010045792685,jcbk,ncfic,J ROWLING,09/06/2005 03:36:00 PM
2277368,0010051163466,jcbk,ncfic,J ROWLING2005,10/12/2005 12:27:00 PM
2277368,0010051158250,jcbk,ccfic,J ROWLING2005,09/23/2005 02:28:00 PM
2277368,0010051164316,jcbk,ccfic,J ROWLING2005,09/23/2005 11:30:00 AM
2027533,0010039702641,jcbk,ccfic,J ROWLING,04/13/2005 04:36:00 PM
2027533,0010039703011,jcbk,ncpb,J ROWLING,05/18/2005 04:20:00 PM
2205013,0010047948350,jcbk,nclp,J ROWLING,06/06/2005 07:50:00 PM
2277368,0010051165958,jcbk,ccfic,J ROWLING2005,07/16/2005 09:33:00 AM
2176667,0010046005756,jcbk,ncfic,J ROWLING,08/30/2005 05:14:00 PM
1965109,0010038943436,jcbk,ccfic,J ROWLING,06/04/2005 12:36:00 PM
2277368,0010051165867,jcbk,ccfic,J ROWLING2005,07/28/2005 12:03:00 PM
1894708,0010047571723,jcbk,ncfic,J ROWLING,12/07/2005 07:52:00 PM
2027533,0010039702781,jcbk,ncfic,J ROWLING,10/14/2005 02:41:00 PM
2277368,0010051161320,jcbk,ccfic,J ROWLING2005,11/29/2005 11:30:00 AM
2277368,0010051162328,jcbk,ccfic,J ROWLING2005,08/18/2005 03:12:00 PM
2005792,0010045088910,jcbk,nclp,J ROWLING,11/22/2005 04:29:00 PM
1894708,0010049436727,jcbk,ncfic,J ROWLING,08/02/2005 04:22:00 PM
1886970,0010041223180,jcbk,ncfic,J ROWLING,08/08/2005 04:36:00 PM
2277368,0010051161940,jcbk,ccfic,J ROWLING2005,08/26/2005 05:15:00 PM
1842723,0010049499527,jcbk,ncfic,J ROWLING,08/15/2005 02:22:00 PM
1894708,0010047571814,jcbk,ncfic,J ROWLING,06/20/2005 01:24:00 PM
2277368,0010051165586,jcbk,ncfic,J ROWLING2005,07/18/2005 03:28:00 PM
1965109,0010040777954,jcbk,ncfic,J ROWLING,08/25/2005 10:47:00 AM
2277368,0010051165990,jcbk,ccfic,J ROWLING2005,12/16/2005 03:50:00 PM
2277368,0010051162849,jcbk,ncfic,J ROWLING2005,12/06/2005 07:17:00 PM
2277368,0010051161221,jcbk,ccfic,J ROWLING2005,10/08/2005 05:15:00 PM
1894708,0010049436701,jcbk,ncfic,J ROWLING,10/22/2005 01:02:00 PM
2304178,0010052005435,jcbk,nclp,J ROWLING,11/05/2005 02:58:00 PM
2005792,0010045088928,jcbk,nalpnew,J ROWLING,11/17/2005 03:54:00 PM
2176667,0010045792206,jcbk,ccfic,J ROWLING,06/22/2005 01:56:00 PM
2176667,0010045997805,jcbk,ncfic,J ROWLING,07/11/2005 07:53:00 PM
1842723,0010045701983,jcbk,ncfic,J ROWLING,11/09/2005 02:44:00 PM
2277368,0010051162336,jcbk,ccfic,J ROWLING2005,09/22/2005 04:10:00 PM
1965109,0010048375884,jcbk,ncfic,J ROWLING,09/03/2005 05:44:00 PM
2277368,0010051162344,jcbk,ccfic,J ROWLING2005,10/14/2005 11:44:00 AM
1886970,0010041223446,jcbk,ncfic,J ROWLING,09/27/2005 01:51:00 PM
1886970,0010051806486,jcbk,ncfic,J ROWLING,06/20/2005 01:24:00 PM
2304178,0010054136873,jcbk,nclp,J ROWLING,11/04/2005 04:42:00 PM
2277368,0010051161718,jcbk,ncfic,J ROWLING2005,07/30/2005 05:33:00 PM
2277368,0010051162112,jcbk,ccfic,J ROWLING2005,09/27/2005 03:21:00 PM
2277368,0010051161585,jcbk,ccfic,J ROWLING2005,10/03/2005 01:58:00 PM
1894708,0010047571723,jcbk,ncfic,J ROWLING,07/22/2005 12:58:00 PM
2277368,0010051162245,jcbk,ccfic,J ROWLING2005,07/27/2005 10:37:00 AM
2277368,0010051165669,jcbk,ncfic,J ROWLING2005,10/15/2005 05:09:00 PM
1965109,0010048375868,jcbk,ncfic,J ROWLING,07/16/2005 04:15:00 PM
2176667,0010046005616,jcbk,ncfic,J ROWLING,07/20/2005 06:47:00 PM
1920281,0010041758219,acbk,nalpfic,J ROWLING,05/20/2005 12:51:00 PM
1894708,0010047571715,jcbk,ncfic,J ROWLING,10/22/2005 05:42:00 PM
2277368,0010051161726,jcbk,ncfic,J ROWLING2005,09/28/2005 03:03:00 PM
2277368,0010051163557,jcbk,ccfic,J ROWLING2005,10/15/2005 02:32:00 PM
2277368,0010051162757,jcbk,ncfic,J ROWLING2005,11/19/2005 02:31:00 PM
2277368,0010051161338,jcbk,ncfic,J ROWLING2005,09/20/2005 02:01:00 PM
1920281,0010041758185,acbk,nalpfic,J ROWLING,10/09/2005 04:22:00 PM
2277368,0010051162740,jcbk,ccfic,J ROWLING2005,08/03/2005 06:27:00 PM
2277368,0010051162880,jcbk,ncnew,J ROWLING2005,12/29/2005 04:35:00 PM
2277368,0010051165636,jcbk,ncfic,J ROWLING2005,09/20/2005 06:21:00 PM
2277368,0010051165982,jcbk,ncfic,J ROWLING2005,11/17/2005 11:35:00 AM
1886970,0010036816923,jcbk,ncfic,J ROWLING,07/16/2005 03:58:00 PM
2277368,0010051163441,jcbk,ccfic,J ROWLING2005,09/06/2005 04:06:00 PM
1894708,0010047571665,jcbk,ncfic,J ROWLING,07/27/2005 11:47:00 AM
2277368,0010051164415,jcbk,ccfic,J ROWLING2005,08/11/2005 05:32:00 PM
2277368,0010051165677,jcbk,ccfic,J ROWLING2005,09/19/2005 04:20:00 PM
1965109,0010051807161,jcbk,ncfic,J ROWLING,08/11/2005 03:23:00 PM
2277368,0010051165867,jcbk,ccfic,J ROWLING2005,08/24/2005 04:18:00 PM
1965109,0010038943857,jcbk,ncfic,J ROWLING,06/24/2005 04:05:00 PM
2176667,0010045792529,jcbk,ccfic,J ROWLING,11/22/2005 01:50:00 PM
1965109,0010038944053,jcbk,ncfic,J ROWLING,06/12/2005 03:43:00 PM
2277368,0010051161338,jcbk,ncfic,J ROWLING2005,11/07/2005 07:33:00 PM
1894708,0010041168807,jcbk,ncfic,J ROWLING,12/06/2005 04:35:00 PM
1894708,0010045702049,jcbk,ncfic,J ROWLING,12/09/2005 10:25:00 AM
1842723,0010045701769,jcbk,ncfic,J ROWLING,08/31/2005 03:41:00 PM
2277368,0010051166055,jcbk,ccfic,J ROWLING2005,09/18/2005 02:16:00 PM
1842723,0010045701728,jcbk,ccfic,J ROWLING,06/04/2005 03:23:00 PM
2277368,0010051161908,jcbk,ccfic,J ROWLING2005,09/26/2005 06:28:00 PM
2277368,0010051164498,jcbk,ncnew,J ROWLING2005,12/14/2005 06:08:00 PM
2277368,0010051161395,jcbk,ccfic,J ROWLING2005,10/12/2005 07:22:00 PM
1842723,0010047883771,jcbk,ncfic,J ROWLING,08/04/2005 10:21:00 AM
1842723,0010031591224,jcbk,ncfic,J ROWLING,06/23/2005 03:53:00 PM
2205013,0010047948350,jcbk,nclp,J ROWLING,06/21/2005 03:29:00 PM
2277368,0010051164456,jcbk,ccfic,J ROWLING2005,10/26/2005 11:35:00 AM
2277368,0010051158284,jcbk,ccfic,J ROWLING2005,09/08/2005 11:08:00 AM
2176667,0010045792412,jcbk,ncfic,J ROWLING,12/14/2005 02:20:00 PM
1894708,0010049436552,jcbk,ncfic,J ROWLING,08/04/2005 03:09:00 PM
2277368,0010051165792,jcbk,ccfic,J ROWLING2005,10/03/2005 10:12:00 AM
2277368,0010051161577,jcbk,ccfic,J ROWLING2005,10/29/2005 05:00:00 PM
2176667,0010045997383,jcbk,ncfic,J ROWLING,12/17/2005 04:01:00 PM
1842723,0010031591190,jcbk,ncfic,J ROWLING,06/17/2005 01:00:00 PM
2176667,0010045792461,jcbk,ncfic,J ROWLING,10/30/2005 01:21:00 PM
1894708,0010040773169,jcbk,ncfic,J ROWLING,11/26/2005 05:54:00 PM
2277368,0010051162716,jcbk,ccfic,J ROWLING2005,07/20/2005 03:00:00 PM
1894708,0010047571681,jcbk,ncfic,J ROWLING,04/29/2005 03:27:00 PM
1886970,0010041223222,jcbk,ncfic,J ROWLING,06/08/2005 07:52:00 PM
2277368,0010051161676,jcbk,ccfic,J ROWLING2005,07/16/2005 09:35:00 AM
1965109,0010038942917,jcbk,ccfic,J ROWLING,10/29/2005 02:04:00 PM
2176667,0010045997805,jcbk,ncfic,J ROWLING,04/23/2005 03:33:00 PM
2277368,0010051162864,jcbk,ncfic,J ROWLING2005,07/27/2005 11:15:00 AM
1886970,0010051912128,jcbk,ccfic,J ROWLING,09/13/2005 04:29:00 PM
2277368,0010051162112,jcbk,ccfic,J ROWLING2005,09/13/2005 07:11:00 PM
2277368,0010051165602,jcbk,ncfic,J ROWLING2005,07/19/2005 04:24:00 PM
2176667,0010046008479,jcbk,ncfic,J ROWLING,12/08/2005 05:43:00 PM
2277368,0010051161197,jcbk,ncfic,J ROWLING2005,12/13/2005 03:24:00 PM
1886970,0010051470820,jcbk,ccfic,J ROWLING,12/03/2005 05:58:00 PM
1894708,0010035820124,jcbk,ncfic,J ROWLING,12/08/2005 11:24:00 AM
1965109,0010038943923,jcbk,ncfic,J ROWLING,09/12/2005 05:53:00 PM
1894708,0010047571814,jcbk,ncfic,J ROWLING,10/22/2005 01:24:00 PM
2277368,0010051162385,jcbk,ccfic,J ROWLING2005,11/15/2005 04:27:00 PM
2277368,0010051162153,jcbk,ccfic,J ROWLING2005,10/03/2005 02:44:00 PM
2027530,0010039703615,jcbk,ccfic,J ROWLING,04/13/2005 04:36:00 PM
2277368,0010051166030,jcbk,ccfic,J ROWLING2005,08/02/2005 08:17:00 AM
1965109,0010048375843,jcbk,ncfic,J ROWLING,09/13/2005 03:50:00 PM
2277368,0010051161882,jcbk,ccfic,J ROWLING2005,08/02/2005 07:54:00 PM
2277368,0010051161346,jcbk,ccfic,J ROWLING2005,10/17/2005 06:35:00 PM
2176667,0010045794400,jcbk,ccfic,J ROWLING,07/22/2005 12:00:00 PM
1842723,0010045701728,jcbk,ccfic,J ROWLING,10/28/2005 11:28:00 AM
2176667,0010045794517,jcbk,ccfic,J ROWLING,10/24/2005 12:01:00 PM
2277368,0010051165578,jcbk,ncfic,J ROWLING2005,12/23/2005 04:48:00 PM
2277368,0010051161650,jcbk,ccfic,J ROWLING2005,10/03/2005 02:50:00 PM
2277368,0010051161726,jcbk,ncfic,J ROWLING2005,11/15/2005 04:09:00 PM
2277368,0010051164365,jcbk,ccfic,J ROWLING2005,09/08/2005 05:36:00 PM
2277368,0010051161825,jcbk,ncfic,J ROWLING2005,11/29/2005 01:32:00 PM
2277368,0010051165982,jcbk,ccfic,J ROWLING2005,08/09/2005 01:33:00 PM
1894708,0010041168807,jcbk,ncfic,J ROWLING,04/30/2005 12:30:00 PM
1842723,0010031591042,jcbk,ncfic,J ROWLING,07/27/2005 12:32:00 PM
2277368,0010051162096,jcbk,ccfic,J ROWLING2005,08/25/2005 01:11:00 PM
1842723,0010050862688,jcbk,ncfic,J ROWLING,07/27/2005 11:33:00 AM
2277368,0010051161171,jcbk,ccfic,J ROWLING2005,10/06/2005 05:48:00 PM
2176667,0010045998118,jcbk,ccfic,J ROWLING,11/22/2005 01:42:00 PM
1965109,0010038944046,jcbk,ncfic,J ROWLING,09/16/2005 02:40:00 PM
1894708,0010047571814,jcbk,ncfic,J ROWLING,12/31/2005 02:46:00 PM
2176667,0010045792529,jcbk,ccfic,J ROWLING,06/29/2005 03:50:00 PM
2277368,0010051161544,jcbk,ncfic,J ROWLING2005,10/19/2005 06:08:00 PM
2277368,0010051162021,jcbk,ncfic,J ROWLING2005,11/09/2005 02:09:00 PM
2277368,0010051165792,jcbk,ccfic,J ROWLING2005,07/16/2005 03:21:00 PM
2277368,0010051164449,jcbk,ccfic,J ROWLING2005,08/15/2005 07:37:00 PM
2277368,0010051163441,jcbk,ccfic,J ROWLING2005,10/04/2005 07:15:00 PM
1842723,0010040777277,jcbk,ncfic,J ROWLING,09/02/2005 02:57:00 PM
2277368,0010051162013,jcbk,ncfic,J ROWLING2005,11/05/2005 12:51:00 PM
2277368,0010051162757,jcbk,ccfic,J ROWLING2005,08/30/2005 05:31:00 PM
2277368,0010051161197,jcbk,ccfic,J ROWLING2005,07/23/2005 10:11:00 AM
2027530,0010039579098,jcbk,ncfic,J ROWLING,09/12/2005 07:02:00 PM
2277368,0010051161957,jcbk,ncfic,J ROWLING2005,10/29/2005 10:36:00 AM
2027533,0010039702716,jcbk,ncpb,J ROWLING,06/03/2005 04:05:00 PM
2277368,0010051161718,jcbk,ncfic,J ROWLING2005,11/15/2005 05:44:00 PM
2277368,0010051165669,jcbk,ncfic,J ROWLING2005,09/12/2005 01:02:00 PM
2176667,0010045792545,jcbk,ncfic,J ROWLING,07/20/2005 01:57:00 PM
1965109,0010051807203,jcbk,ccfic,J ROWLING,08/30/2005 05:14:00 PM
2176667,0010045997615,jcbk,ncfic,J ROWLING,07/21/2005 03:32:00 PM
2277368,0010051163581,jcbk,ccfic,J ROWLING2005,10/31/2005 01:20:00 PM
2277368,0010051161577,jcbk,ccfic,J ROWLING2005,08/07/2005 02:04:00 PM
1894708,0010049436529,jcbk,ncfic,J ROWLING,10/26/2005 05:30:00 PM
1886970,0010026345115,jcbk,ncfic,J ROWLING,06/21/2005 03:01:00 PM
1886970,0010048376841,jcbk,ncfic,J ROWLING,11/23/2005 02:08:00 PM
2176667,0010036390754,jcbk,ncfic,J ROWLING,10/01/2005 12:12:00 PM
2176667,0010045792685,jcbk,ncfic,J ROWLING,10/09/2005 03:43:00 PM
2277368,0010051161510,jcbk,ccfic,J ROWLING2005,12/29/2005 02:11:00 PM
1842723,0010040878208,jcbk,ncfic,J ROWLING,05/26/2005 05:53:00 PM
1894708,0010041168807,jcbk,ncfic,J ROWLING,09/26/2005 04:38:00 PM
2176667,0010045997383,jcbk,ncfic,J ROWLING,10/28/2005 11:12:00 AM
1894708,0010047571715,jcbk,ncfic,J ROWLING,11/03/2005 04:52:00 PM
1842723,0010047073167,jcbk,ncfic,J ROWLING,10/30/2005 02:57:00 PM
2277368,0010051163599,jcbk,ccfic,J ROWLING2005,07/20/2005 01:27:00 PM
2277368,0010051165743,jcbk,ccfic,J ROWLING2005,10/06/2005 04:11:00 PM
1894708,0010049436719,jcbk,ncfic,J ROWLING,12/13/2005 03:38:00 PM
1886970,0010048376809,jcbk,ncfic,J ROWLING,12/10/2005 01:25:00 PM
1965109,0010036455284,jcbk,ncfic,J ROWLING,09/13/2005 03:46:00 PM
2277368,0010051161874,jcbk,ccfic,J ROWLING2005,09/12/2005 07:35:00 PM
2027530,0010039703615,jcbk,ccfic,J ROWLING,09/15/2005 03:55:00 PM
2277368,0010051162302,jcbk,ccfic,J ROWLING2005,10/12/2005 11:32:00 AM
2027530,0010039579106,jcbk,ncfic,J ROWLING,11/19/2005 05:12:00 PM
2277368,0010051162716,jcbk,ccfic,J ROWLING2005,12/14/2005 06:36:00 PM
2176667,0010045792669,jcbk,ncfic,J ROWLING,11/25/2005 01:33:00 PM
1894708,0010047571715,jcbk,ncfic,J ROWLING,12/10/2005 01:42:00 PM
1842723,0010050862662,jcbk,ncfic,J ROWLING,12/10/2005 01:25:00 PM
2176667,0010046005616,jcbk,ncfic,J ROWLING,11/26/2005 05:54:00 PM
2176667,0010046007810,jcbk,ccfic,J ROWLING,10/20/2005 04:57:00 PM
2277368,0010051161395,jcbk,ccfic,J ROWLING2005,08/03/2005 11:31:00 AM
1842723,0010038432026,jcbk,ncfic,J ROWLING,05/24/2005 07:15:00 PM
2277368,0010051162674,jcbk,ccfic,J ROWLING2005,07/20/2005 12:38:00 PM
2277368,0010051161122,jcbk,ncfic,J ROWLING2005,11/12/2005 05:44:00 PM
2277368,0010051162005,jcbk,ccfic,J ROWLING2005,10/04/2005 06:26:00 PM
1965109,0010040849076,jcbk,ccfic,J ROWLING,12/11/2005 03:45:00 PM
2277368,0010051158300,jcbk,ncfic,J ROWLING2005,12/29/2005 03:49:00 PM
2304178,0010054136816,jcbk,cclpfic,J ROWLING,11/15/2005 05:32:00 PM
1886970,0010048376809,jcbk,ncnew,J ROWLING,08/05/2005 01:00:00 PM
1894708,0010051380151,jcbk,ccfic,J ROWLING,12/23/2005 12:30:00 PM
2176667,0010040778101,jcbk,ncfic,J ROWLING,10/24/2005 06:43:00 PM
2176667,0010046007877,jcbk,ncfic,J ROWLING,12/14/2005 01:29:00 PM
2277368,0010051161304,jcbk,ncnew,J ROWLING2005,10/31/2005 01:19:00 PM
1965109,0010048375918,jcbk,ccfic,J ROWLING,08/15/2005 04:35:00 PM
2277368,0010051163540,jcbk,ccfic,J ROWLING2005,09/23/2005 11:58:00 AM
2176667,0010046008354,jcbk,ccfic,J ROWLING,08/15/2005 07:04:00 PM
1886970,0010048376809,jcbk,ncnew,J ROWLING,06/17/2005 05:57:00 PM
2277368,0010051162039,jcbk,ncfic,J ROWLING2005,11/29/2005 07:42:00 PM
1894708,0010047571731,jcbk,ncfic,J ROWLING,05/31/2005 04:07:00 PM
2176667,0010046008354,jcbk,ccfic,J ROWLING,10/15/2005 02:36:00 PM
2277368,0010051161692,jcbk,ccfic,J ROWLING2005,07/20/2005 10:07:00 AM
2005792,0010045088936,jcbk,nclp,J ROWLING,08/05/2005 02:32:00 PM
2277368,0010051162724,jcbk,ncfic,J ROWLING2005,11/19/2005 02:03:00 PM
2277368,0010051164431,jcbk,ncfic,J ROWLING2005,11/15/2005 02:40:00 PM
2277368,0010051161346,jcbk,ccfic,J ROWLING2005,12/12/2005 04:29:00 PM
2277368,0010051162377,jcbk,ccfic,J ROWLING2005,07/26/2005 12:37:00 PM
2176667,0010045998118,jcbk,ccfic,J ROWLING,06/22/2005 07:38:00 PM
1894708,0010045701942,jcbk,ncfic,J ROWLING,09/16/2005 04:36:00 PM
1886970,0010041223180,jcbk,ncfic,J ROWLING,12/08/2005 03:11:00 PM
2176667,0010046005665,jcbk,ncfic,J ROWLING,08/04/2005 03:09:00 PM
1886970,0010041223289,jcbk,ncfic,J ROWLING,10/03/2005 01:10:00 PM
2277368,0010051162757,jcbk,ccfic,J ROWLING2005,09/07/2005 02:52:00 PM
2277368,0010051166063,jcbk,ncfic,J ROWLING2005,10/29/2005 02:04:00 PM
2027530,0010039579106,jcbk,ncfic,J ROWLING,07/20/2005 12:01:00 PM
2304178,0010054255822,jcbk,nclp,J ROWLING,12/22/2005 04:13:00 PM
1965109,0010048375850,jcbk,ncfic,J ROWLING,09/09/2005 04:29:00 PM
2176667,0010045997417,jcbk,ncfic,J ROWLING,11/22/2005 05:46:00 PM
2277368,0010051165602,jcbk,ncfic,J ROWLING2005,10/20/2005 05:47:00 PM
2277368,0010051161262,jcbk,ccfic,J ROWLING2005,07/21/2005 10:45:00 AM
2277368,0010051162765,jcbk,ccfic,J ROWLING2005,07/19/2005 05:53:00 PM
2277368,0010051161411,jcbk,ccfic,J ROWLING2005,07/19/2005 04:13:00 PM
2176667,0010045792677,jcbk,ncfic,J ROWLING,11/02/2005 05:32:00 PM
1965109,0010040849076,jcbk,ccfic,J ROWLING,12/27/2005 01:21:00 PM
2277368,0010051161619,jcbk,ccfic,J ROWLING2005,10/02/2005 04:36:00 PM
1886970,0010051912128,jcbk,ccfic,J ROWLING,11/03/2005 11:20:00 AM
1886970,0010051912128,jcbk,ccfic,J ROWLING,08/03/2005 01:31:00 PM
1842723,0010051306370,jcbk,ccfic,J ROWLING,12/19/2005 03:19:00 PM
2005792,0010045088936,jcbk,nclp,J ROWLING,12/01/2005 03:46:00 PM
2176667,0010045792651,jcbk,ncfic,J ROWLING,12/26/2005 04:02:00 PM
2277368,0010051164324,jcbk,ccfic,J ROWLING2005,10/05/2005 05:26:00 PM
2277368,0010051161676,jcbk,ccfic,J ROWLING2005,10/19/2005 10:49:00 AM
2277368,0010051165859,jcbk,ccfic,J ROWLING2005,07/18/2005 01:25:00 PM
1842723,0010040846072,jcbk,ncfic,J ROWLING,09/01/2005 12:32:00 PM
2277368,0010051161288,jcbk,ccfic,J ROWLING2005,08/11/2005 04:11:00 PM
1894708,0010047571806,jcbk,ccfic,J ROWLING,11/12/2005 02:14:00 PM
1965109,0010038943196,jcbk,ccfic,J ROWLING,09/07/2005 07:55:00 PM
2277368,0010051161403,jcbk,ccfic,J ROWLING2005,09/21/2005 02:56:00 PM
1894708,0010045702049,jcbk,ncfic,J ROWLING,08/11/2005 03:23:00 PM
2176667,0010045792438,jcbk,ccfic,J ROWLING,10/26/2005 03:23:00 PM
2277368,0010051161833,jcbk,ccfic,J ROWLING2005,07/19/2005 01:45:00 PM
2277368,0010051161361,jcbk,ccfic,J ROWLING2005,12/23/2005 02:37:00 PM
1842723,0010035363992,jcbk,ncfic,J ROWLING,11/05/2005 02:10:00 PM
2277368,0010051161403,jcbk,ccfic,J ROWLING2005,12/05/2005 11:21:00 AM
1965109,0010038943253,jcbk,ncfic,J ROWLING,06/13/2005 04:28:00 PM
1894708,0010047571814,jcbk,ncfic,J ROWLING,08/11/2005 02:19:00 PM
2176667,0010045997383,jcbk,ncfic,J ROWLING,06/13/2005 04:46:00 PM
1894708,0010047571665,jcbk,ncfic,J ROWLING,11/19/2005 02:59:00 PM
2027530,0010039579106,jcbk,ncfic,J ROWLING,06/13/2005 03:07:00 PM
2277368,0010051161122,jcbk,ccfic,J ROWLING2005,07/24/2005 04:46:00 PM
1842723,0010045701728,jcbk,ccfic,J ROWLING,07/30/2005 11:48:00 AM
2027533,0010039702989,jcbk,ncfic,J ROWLING,10/22/2005 03:44:00 PM
1842723,0010035363992,jcbk,ncfic,J ROWLING,12/02/2005 12:19:00 PM
1894708,0010047571806,jcbk,ccfic,J ROWLING,06/05/2005 03:47:00 PM
1886970,0010041222968,jcbk,ncfic,J ROWLING,08/31/2005 03:05:00 PM
1886970,0010051806478,jcbk,ncfic,J ROWLING,05/24/2005 04:13:00 PM
1894708,0010047571756,jcbk,ncfic,J ROWLING,05/27/2005 03:57:00 PM
1894708,0010047571673,jcbk,ncfic,J ROWLING,06/26/2005 01:40:00 PM
2277368,0010051158276,jcbk,ccfic,J ROWLING2005,10/12/2005 03:49:00 PM
1965109,0010038942917,jcbk,ccfic,J ROWLING,06/11/2005 05:17:00 PM
2277368,0010051166063,jcbk,ccfic,J ROWLING2005,08/16/2005 07:48:00 PM
2277368,0010051161155,jcbk,ccfic,J ROWLING2005,07/19/2005 07:48:00 PM
1842723,0010031591208,jcbk,ccfic,J ROWLING,06/22/2005 11:15:00 AM
1894708,0010036016789,jcbk,ncfic,J ROWLING,09/24/2005 10:33:00 AM
2176667,0010036392248,jcbk,ncfic,J ROWLING,07/15/2005 02:43:00 PM
2277368,0010051164373,jcbk,ccfic,J ROWLING2005,08/16/2005 02:18:00 PM
2176667,0010046005707,jcbk,ncfic,J ROWLING,06/03/2005 12:26:00 PM
2277368,0010051166063,jcbk,ccfic,J ROWLING2005,07/20/2005 03:25:00 PM
2277368,0010051162849,jcbk,ncfic,J ROWLING2005,08/08/2005 02:17:00 PM
2304178,0010054147300,jcbk,nclp,J ROWLING,12/15/2005 02:20:00 PM
2277368,0010051162732,jcbk,ccfic,J ROWLING2005,07/20/2005 10:26:00 AM
2176667,0010045997409,jcbk,ccfic,J ROWLING,10/12/2005 12:17:00 PM
2304178,0010054255806,jcbk,nclp,J ROWLING,12/31/2005 02:00:00 PM
2176667,0010045792180,jcbk,ncfic,J ROWLING,07/20/2005 07:35:00 PM
2277368,0010051162369,jcbk,ccfic,J ROWLING2005,10/02/2005 04:30:00 PM
1886970,0010051806460,jcbk,ccfic,J ROWLING,06/22/2005 12:34:00 PM
2176667,0010046130208,jcbk,ncfic,J ROWLING,10/11/2005 02:03:00 PM
1886970,0010048376940,jcbk,ncfic,J ROWLING,10/03/2005 05:30:00 PM
2277368,0010051164498,jcbk,ccfic,J ROWLING2005,08/29/2005 11:10:00 AM
2277368,0010051163573,jcbk,ccfic,J ROWLING2005,08/24/2005 12:27:00 PM
1886970,0010051806478,jcbk,ncfic,J ROWLING,08/15/2005 01:11:00 PM
1886970,0010051806486,jcbk,ncfic,J ROWLING,06/10/2005 11:43:00 AM
2277368,0010051161163,jcbk,ccfic,J ROWLING2005,11/08/2005 06:52:00 PM
2176667,0010045997730,jcbk,ncfic,J ROWLING,08/10/2005 12:16:00 PM
2176667,0010046007885,jcbk,ncfic,J ROWLING,11/23/2005 04:16:00 PM
2176667,0010045792495,jcbk,ccfic,J ROWLING,11/30/2005 07:00:00 PM
1894708,0010047073175,jcbk,ncfic,J ROWLING,09/12/2005 05:08:00 PM
2176667,0010046008156,jcbk,ncfic,J ROWLING,12/05/2005 02:34:00 PM
1886970,0010051912128,jcbk,ccfic,J ROWLING,10/06/2005 01:36:00 PM
2277368,0010051165966,jcbk,ccfic,J ROWLING2005,10/06/2005 12:33:00 PM
2005792,0010045088910,jcbk,nclp,J ROWLING,10/26/2005 02:04:00 PM
2277368,0010051165644,jcbk,ncfic,J ROWLING2005,11/07/2005 02:24:00 PM
2277368,0010051162039,jcbk,ccfic,J ROWLING2005,07/29/2005 12:10:00 PM
2277368,0010051166014,jcbk,ccfic,J ROWLING2005,11/02/2005 06:00:00 PM
1886970,0010044385465,jcbk,ncfic,J ROWLING,05/31/2005 03:10:00 PM
2277368,0010051162880,jcbk,ncfic,J ROWLING2005,08/16/2005 06:29:00 PM
2277368,0010051162088,jcbk,ccfic,J ROWLING2005,09/08/2005 10:12:00 AM
1894708,0010047073175,jcbk,ncfic,J ROWLING,06/07/2005 04:45:00 PM
2277368,0010051161478,jcbk,ccfic,J ROWLING2005,08/08/2005 03:53:00 PM
1965109,0010038943626,jcbk,ncfic,J ROWLING,10/26/2005 04:29:00 PM
2277368,0010051165933,jcbk,ncfic,J ROWLING2005,12/01/2005 05:04:00 PM
2277368,0010051164449,jcbk,ccfic,J ROWLING2005,09/21/2005 12:06:00 PM
2277368,0010051161338,jcbk,ncfic,J ROWLING2005,11/30/2005 07:17:00 PM
2176667,0010045792206,jcbk,ccfic,J ROWLING,08/30/2005 05:36:00 PM
1965109,0010048375843,jcbk,ncfic,J ROWLING,12/16/2005 02:09:00 PM
2277368,0010051165842,jcbk,ccfic,J ROWLING2005,10/05/2005 06:19:00 PM
2277368,0010051161163,jcbk,ccfic,J ROWLING2005,12/30/2005 05:12:00 PM
2277368,0010051163540,jcbk,ccfic,J ROWLING2005,07/18/2005 07:55:00 PM
2205013,0010047948343,jcbk,cclpfic,J ROWLING,08/06/2005 03:54:00 PM
2277368,0010051165636,jcbk,ncfic,J ROWLING2005,09/30/2005 04:24:00 PM
2277368,0010051163623,jcbk,ccfic,J ROWLING2005,08/11/2005 01:20:00 PM
2277368,0010051161361,jcbk,ccfic,J ROWLING2005,07/30/2005 04:52:00 PM
1886970,0010048376809,jcbk,ncnew,J ROWLING,08/20/2005 12:32:00 PM
1886970,0010048376981,jcbk,ncfic,J ROWLING,11/30/2005 12:39:00 PM
1886970,0010041223172,jcbk,ncfic,J ROWLING,06/09/2005 03:08:00 PM
2027533,0010039702625,jcbk,ccfic,J ROWLING,06/08/2005 07:11:00 PM
1842723,0010040846072,jcbk,ncfic,J ROWLING,10/03/2005 06:56:00 PM
