BibNumber,ItemBarcode,ItemType,Collection,CallNumber,CheckoutDateTime
2410427,0010056947566,jcbk,ncfic,J ROWLING,12/11/2007 03:43:00 PM
1842723,0010058081232,jcbk,ncfic,J ROWLING,11/01/2007 03:56:00 PM
2176667,0010045997540,jcbk,ncfic,J ROWLING,03/17/2007 03:49:00 PM
1920281,0010041758177,jcbk,nclp,J ROWLING,05/11/2007 05:34:00 PM
2277368,0010051163482,jcbk,ncfic,J ROWLING2005,02/15/2007 04:38:00 PM
2277368,0010051161338,jcbk,ncfic,J ROWLING2005,11/20/2007 07:44:00 PM
2277368,0010051162807,jcbk,ncfic,J ROWLING2005,08/29/2007 07:21:00 PM
2277368,0010051162757,jcbk,ncfic,J ROWLING2005,05/04/2007 11:07:00 AM
2410427,0010058790147,jcbk,ncfic,J ROWLING,08/10/2007 01:45:00 PM
2277368,0010051162864,jcbk,ncfic,J ROWLING2005,07/23/2007 05:34:00 PM
2027533,0010039702781,jcbk,ncfic,J ROWLING,04/12/2007 07:19:00 PM
2304178,0010054136881,jcbk,nclp,J ROWLING,07/16/2007 06:39:00 PM
2027530,0010039703458,jcbk,ncpb,J ROWLING,01/18/2007 06:14:00 PM
2410427,0010056850604,jcbk,ncfic,J ROWLING,12/08/2007 03:21:00 PM
1965109,0010057829664,jcbk,ncfic,J ROWLING,12/28/2007 01:20:00 PM
1886970,0010041223446,jcbk,ncfic,J ROWLING,02/28/2007 02:05:00 PM
1886970,0010057928292,jcbk,ccfic,J ROWLING,05/09/2007 03:25:00 PM
1842723,0010045701983,jcbk,ncfic,J ROWLING,10/03/2007 10:15:00 AM
1920281,0010058498105,jcbk,nclp,J ROWLING,10/26/2007 03:12:00 PM
2410427,0010057942517,jcbk,ncfic,J ROWLING,09/28/2007 03:36:00 PM
2410427,0010057942574,jcbk,ncfic,J ROWLING,08/11/2007 03:39:00 PM
2410427,0010057050295,jcbk,ncfic,J ROWLING,12/20/2007 10:52:00 AM
2277368,0010051162047,jcbk,ncfic,J ROWLING2005,06/04/2007 05:15:00 PM
1894708,0010049436693,jcbk,ccfic,J ROWLING,07/17/2007 01:08:00 PM
2410427,0010057262767,jcbk,ncfic,J ROWLING,10/18/2007 10:21:00 AM
2446851,0010058497461,jcbk,cclpfic,J ROWLING,11/29/2007 02:18:00 PM
1842723,0010050546604,jcbk,ncfic,J ROWLING,06/21/2007 12:13:00 PM
2005792,0010045088902,jcbk,cclpfic,J ROWLING,04/10/2007 06:46:00 PM
2410427,0010058790402,jcbk,ncfic,J ROWLING,08/22/2007 02:17:00 PM
2410427,0010058790444,jcbk,ncfic,J ROWLING,07/23/2007 01:53:00 PM
2446851,0010058752519,jcbk,nclp,J ROWLING,10/28/2007 02:00:00 PM
2277368,0010051161775,jcbk,ncfic,J ROWLING2005,07/17/2007 03:06:00 PM
1965109,0010048375892,jcbk,ncfic,J ROWLING,11/24/2007 02:50:00 PM
1886970,0010051470739,jcbk,ncfic,J ROWLING,05/10/2007 02:32:00 PM
2277368,0010051161981,jcbk,ncfic,J ROWLING2005,12/11/2007 05:03:00 PM
2410427,0010056947749,jcbk,ncfic,J ROWLING,11/14/2007 07:34:00 PM
2277368,0010051162864,jcbk,ncfic,J ROWLING2005,11/17/2007 11:31:00 AM
2176667,0010045792628,jcbk,ncfic,J ROWLING,05/30/2007 10:12:00 AM
2446851,0010058487603,jcbk,nclp,J ROWLING,11/16/2007 04:37:00 PM
2410427,0010057262585,jcbk,ncfic,J ROWLING,08/15/2007 07:00:00 PM
2304178,0010054137079,jcbk,cclpfic,J ROWLING,06/27/2007 06:03:00 PM
1886970,0010051806460,jcbk,ccfic,J ROWLING,11/26/2007 02:20:00 PM
1886970,0010048376981,jcbk,ncfic,J ROWLING,02/05/2007 05:34:00 PM
2410427,0010057049685,jcbk,ncfic,J ROWLING,09/12/2007 11:13:00 AM
2446851,0010058752501,jcbk,nclp,J ROWLING,12/21/2007 01:21:00 PM
2277368,0010051165727,jcbk,ncfic,J ROWLING2005,04/09/2007 05:17:00 PM
2410427,0010056947665,jcbk,ncfic,J ROWLING,08/09/2007 05:46:00 PM
2304178,0010054255822,jcbk,nclp,J ROWLING,07/12/2007 10:19:00 AM
2410427,0010057262643,jcbk,ncfic,J ROWLING,07/24/2007 03:47:00 PM
1941061,0010051242104,jcbk,nclp,J ROWLING,07/30/2007 07:57:00 PM
2410427,0010057262460,jcbk,ncfic,J ROWLING,11/02/2007 05:51:00 PM
2410427,0010058790154,jcbk,ncfic,J ROWLING,09/27/2007 05:44:00 PM
2410427,0010056947814,jcbk,ncfic,J ROWLING,12/17/2007 02:28:00 PM
2277368,0010051165909,jcbk,ncfic,J ROWLING2005,12/15/2007 05:13:00 PM
2304178,0010054147334,jcbk,cclpfic,J ROWLING,08/21/2007 05:13:00 PM
1886970,0010041223263,jcbk,ncfic,J ROWLING,07/05/2007 02:42:00 PM
2277368,0010051165743,jcbk,ncfic,J ROWLING2005,05/31/2007 05:29:00 PM
2027533,0010039702948,jcbk,ncpb,J ROWLING,08/21/2007 01:05:00 PM
2410427,0010058790352,jcbk,ncfic,J ROWLING,08/14/2007 06:28:00 PM
2277368,0010051162799,jcbk,ncfic,J ROWLING2005,09/29/2007 05:00:00 PM
2277368,0010051164464,jcbk,ncfic,J ROWLING2005,07/17/2007 03:05:00 PM
1886970,0010048376833,jcbk,ncfic,J ROWLING,01/04/2007 04:44:00 PM
2277368,0010051162039,jcbk,ncfic,J ROWLING2005,04/18/2007 10:31:00 AM
1965109,0010048375926,jcbk,ncfic,J ROWLING,10/19/2007 04:58:00 PM
2176667,0010046005616,jcbk,ncfic,J ROWLING,09/04/2007 07:38:00 PM
2410427,0010056947921,jcbk,ncfic,J ROWLING,09/15/2007 10:21:00 AM
2176667,0010045997763,jcbk,ncfic,J ROWLING,09/29/2007 04:43:00 PM
